id,sbp,spc,cla,sbc,ifc,dvn,sbd,ord,sbo,ifo,spf,fam,sbf,tri,gen,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Rhaphidosomatinae,NA,Rhaphidosoma,circumvagans
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Gerromorpha,Gerroidea,Gerridae,Ptilomerinae,NA,Rheumatogonus,borneensis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Gerromorpha,Gerroidea,Gerridae,Ptilomerinae,NA,Rheumatogonus,luzonicus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Cyclorrhapha,Syrphoidea,Syrphidae,NA,NA,Rhingia,campestris
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Cyclorrhapha,Syrphoidea,Syrphidae,NA,NA,Rhingia,rostrata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,tristis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,carmelita
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,albopilosus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,bicolor
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,albopunctatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,marginatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,fuscipes
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,rapax
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Harpactorinae,NA,Rhinocoris,segmentarius
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,Rhinocyllus,conicus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,NA,NA,Rhipidia,maculata
NA,Chelicerata,NA,Arachnida,NA,NA,NA,NA,Acari,NA,NA,NA,Acaridae,NA,NA,Rhizoglyphus,robini
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Bostrichiformia,Bostrichoidea,Bostrichidae,NA,NA,Rhizopertha,dominica
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Triatominae,NA,Rhodnius,neivai
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Triatominae,NA,Rhodnius,prolixus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,NA,Reduviidae,Triatominae,NA,Rhodnius,pictipes
