"","taxon","parent_taxon"
"259","Ischnura","Coenagrionidae"
"260","Anomalagrion",NA
"261","Amphiagrion","Coenagrionidae"
"262","Telebasis","Coenagrionidae"
"263","Zoniagrion","Coenagrionidae"
"264","Enallagma","Coenagrionidae"
"265","Chromagrion","Coenagrionidae"
"266","Nehalennia","Coenagrionidae"
"267","Argia","Coenagrionidae"
"268","Coenagrion","Coenagrionidae"
"269","Protoneuridae","Zygoptera"
"270","Orthoptera","Polyneoptera"
"271","Caelifera","Orthoptera"
"272","Tetrigidae","Tetrigoidea"
"273","Tettigidea","Batrachideinae"
"274","Tetrix","Tetriginae"
"275","Nomotettix","Tetriginae"
"276","Neotettix","Tetriginae"
"277","Paratettix","Tetriginae"
"278","Apotettix",NA
"279","Paxilla","Batrachideinae"
"280","Eumastacidae","Eumastacoidea"
"281","Tanaoceridae","Tanaoceroidea"
"282","Tanaocerus","Tanaocerinae"
"283","Mohavacris","Tanaocerinae"
"284","Acrididae","Acridoidea"
"285","Stenacris","Leptysminae"
"286","Leptysma","Leptysminae"
"287","Aulocara","Gomphocerinae"
"288","Brachystola","Romaleinae"
"289","Camnula","Oedipodinae"
"290","Chortophaga","Oedipodinae"
"291","Dissosteira","Oedipodinae"
"292","Melanoplus","Melanoplinae"
"293","Oxya","Oxyinae"
"294","Romalea","Romaleinae"
"295","Schistocerca","Cyrtacanthacridinae"
"296","Tridactylidae","Tridactyloidea"
"297","Tridactylus",NA
"298","Ensifera","Orthoptera"
"299","Tettigoniidae","Tettigonioidea"
"300","Orchelimum","Conocephalinae"
"301","Conocephalus","Conocephalinae"
"302","Anabrus","Tettigoniinae"
"303","Holochlora","Phaneropterinae"
"304","Microcentrum","Phaneropterinae"
"305","Peranabrus","Tettigoniinae"
"306","Phaneroptera","Phaneropterinae"
"307","Scudderia","Phaneropterinae"
"308","Prophalangopsidae","Hagloidea"
"309","Cyphoderris","Cyphoderrinae"
"310","Gryllacrididae","Stenopelmatoidea"
"311","Tachycines","Aemodogryllinae"
"312","Gryllidae","Grylloidea"
"313","Acrydium",NA
"314","Anaxipha","Trigonidiinae"
"315","Allonemobius","Nemobiinae"
"316","Neonemobius","Nemobiinae"
"317","Nemobius","Nemobiinae"
"318","Cycloptilum","Mogoplistinae"
"319","Cyrtoxipha","Trigonidiinae"
"320","Eunemobius","Nemobiinae"
"321","Falcicula","Trigonidiinae"
"322","Hapithus","Podoscirtinae"
"323","Orocharis","Podoscirtinae"
"324","Phylloscyrtus","Trigonidiinae"
"325","Pictonemobius","Nemobiinae"
"326","Tafalisca","Tafaliscinae"
"327","Oecanthus","Oecanthinae"
"328","Teleogryllus","Gryllinae"
"329","Gryllotalpidae","Gryllotalpoidea"
"330","Gryllotalpa","Gryllotalpinae"
"331","Neocurtilla","Gryllotalpinae"
"332","Scapteriscus","Gryllotalpinae"
"333","Pyrgomorphidae","Pyrgomorphoidea"
"334","Atractomorpha","Pyrgomorphinae"
"335","Stenopelmatidae","Stenopelmatoidea"
"336","Stenopelmatus","Stenopelmatinae"
"337","Phasmatoptera",NA
"338","Phasmatidae","Phasmida"
"339","Diapheromera","Diapheromeridae"
"340","Aplopus",NA
"341","Megaphasma","Diapheromeridae"
"342","Timemidae",NA
"343","Timema","Timematidae"
"344","Dictyoptera",NA
"345","Mantidae","Mantodea"
"346","Stagmomantis","Mantidae"
"347","Cryptocercidae","Blattoidea"
"348","Cryptocercus","Cryptocercidae"
"349","Blattidae","Blattoidea"
"350","Blatta","Blattinae"
"351","Periplaneta","Blattinae"
"352","Eurycotis","Polyzosteriinae"
"353","Polyphagidae","Corydioidea"
"354","Arenivaga","Polyphaginae"
"355","Eremoblatta","Polyphaginae"
"356","Attaphila","Attaphilinae"
"357","Blattellidae","Blaberoidea"
"358","Blattella","Blattellinae"
"359","Supella","Pseudophyllodromiinae"
"360","Parcoblatta","Blattellinae"
"361","Blaberidae","Blaberoidea"
"362","Blaberus","Blaberinae"
"363","Leucophaea",NA
"364","Panchlora","Panchlorinae"
"365","Pycnoscelus","Pycnoscelinae"
"366","Blattaria",NA
"367","Grylloblattodea","Polyneoptera"
