"","taxon","parent_taxon"
"17094","Sticholotidinae","Coccinellidae"
"17095","Coccidulinae","Coccinellidae"
"17096","Scymninae","Coccinellidae"
"17097","Chilocorinae","Coccinellidae"
"17098","Coccinellinae","Coccinellidae"
"17099","Epilachninae","Coccinellidae"
"17100","Peltidoninae",NA
"17101","Corylophinae","Corylophidae"
"17102","Sericoderinae",NA
"17103","Parmulinae",NA
"17104","Latridiinae","Latridiidae"
"17105","Corticariinae","Latridiidae"
"17106","Esarcinae","Mycetophagidae"
"17107","Mycetophaginae","Mycetophagidae"
"17108","Bergininae","Mycetophagidae"
"17109","Sphindociinae","Ciidae"
"17110","Ciinae","Ciidae"
"17111","Piseninae","Tetratomidae"
"17112","Tetratominae","Tetratomidae"
"17113","Penthinae","Tetratomidae"
"17114","Hallomeninae",NA
"17115","Eustrophinae",NA
"17116","Melandryinae","Melandryidae"
"17117","Osphyinae","Melandryidae"
"17118","Ctenidiinae","Mordellidae"
"17119","Mordellinae","Mordellidae"
"17120","Pelecotominae","Rhipiphoridae"
"17121","Micholaeminae","Rhipiphoridae"
"17122","Ptilophorinae","Rhipiphoridae"
"17123","Hemirhipidiinae","Rhipiphoridae"
"17124","Rhipidiinae","Rhipiphoridae"
"17125","Rhipiphorinae","Rhipiphoridae"
"17126","Colydiinae","Zopheridae"
"17127","Zopherinae","Zopheridae"
"17128","Lagriinae","Tenebrionidae"
"17129","Phrenapatinae","Tenebrionidae"
"17130","Zolodininae","Tenebrionidae"
"17131","Pimeliinae","Tenebrionidae"
"17132","Tenebrioninae","Tenebrionidae"
"17133","Alleculinae","Tenebrionidae"
"17134","Diaperinae","Tenebrionidae"
"17135","Coelometopinae","Tenebrionidae"
"17136","Cossyphodinae","Tenebrionidae"
"17137","Calopodinae","Oedemeridae"
"17138","Oedemerinae","Oedemeridae"
"17139","Stenotrachelinae","Stenotrachelidae"
"17140","Nematoplinae","Stenotrachelidae"
"17141","Cephaloinae","Stenotrachelidae"
"17142","Stoliinae","Stenotrachelidae"
"17143","Eleticinae","Meloidae"
"17144","Meloinae","Meloidae"
"17145","Nemogmathinae",NA
"17146","Mycterinae","Mycteridae"
"17147","Lacconotinae","Mycteridae"
"17148","Hemipeplinae","Mycteridae"
"17149","Borinae","Boridae"
"17150","Synercticinae","Boridae"
"17151","Tydessinae","Pyrochroidae"
"17152","Pilipalpinae","Pyrochroidae"
"17153","Pedilinae","Pyrochroidae"
"17154","Pyrochroinae","Pyrochroidae"
"17155","Agnathinae","Pyrochroidae"
"17156","Othniinae","Salpingidae"
"17157","Prostominiinae","Salpingidae"
"17158","Agleninae","Salpingidae"
"17159","Inopeplinae","Salpingidae"
"17160","Salpinginae","Salpingidae"
"17161","Aegialitinae","Salpingidae"
"17162","Dacoderinae","Salpingidae"
"17163","Eurygeniinae","Anthicidae"
"17164","Lagrioidinae","Anthicidae"
"17165","Afreminae","Anthicidae"
"17166","Macratriinae","Anthicidae"
"17167","Steropinae","Anthicidae"
"17168","Ischaliinae","Anthicidae"
"17169","Copobaeninae","Anthicidae"
"17170","Lemodinae","Anthicidae"
"17171","Tomoderinae","Anthicidae"
"17172","Anthicinae","Anthicidae"
"17173","Scraptiinae","Scraptiidae"
"17174","Anaspidinae","Scraptiidae"
"17175","Vesperinae","Cerambycidae"
"17176","Oxypeltinae","Cerambycidae"
"17177","Disteniinae","Cerambycidae"
"17178","Anoplodermatinae","Cerambycidae"
"17179","Philinae","Cerambycidae"
"17180","Parandrinae","Cerambycidae"
"17181","Prioninae","Cerambycidae"
"17182","Spondylidinae","Cerambycidae"
"17183","Apatophyseinae","Cerambycidae"
"17184","Necydalinae","Cerambycidae"
"17185","Lepturinae","Cerambycidae"
"17186","Cerambycinae","Cerambycidae"
"17187","Lamiinae","Cerambycidae"
"17188","Palophaginae","Megalopodidae"
"17189","Orsodacninae","Orsodacnidae"
"17190","Aulacoscelidinae","Orsodacnidae"
"17191","Sagrinae","Chrysomelidae"
"17192","Bruchinae","Chrysomelidae"
"17193","Donaciinae","Chrysomelidae"
"17194","Criocerinae","Chrysomelidae"
"17195","Hispinae",NA
"17196","Chrysomelinae","Chrysomelidae"
"17197","Galerucinae","Chrysomelidae"
"17198","Lamprosomatinae","Chrysomelidae"
"17199","Cryptocephalinae","Chrysomelidae"
"17200","Eumolpinae","Chrysomelidae"
"17201","Nemonychinae","Nemonychidae"
"17202","Rhinorhynchinae","Nemonychidae"
"17203","Doydirhynchinae","Nemonychidae"
"17204","Urodontinae","Anthribidae"
"17205","Anthribinae","Anthribidae"
"17206","Choraginae","Anthribidae"
"17207","Belinae","Belidae"
"17208","Oxycoryninae","Belidae"
"17209","Aglycyderinae","Belidae"
"17210","Rhynchitinae","Attelabidae"
"17211","Attelabinae","Attelabidae"
"17212","Eurhynchinae","Brentidae"
"17213","Cyladinae","Brentidae"
"17214","Brentinae","Brentidae"
"17215","Antliarhininae","Brentidae"
"17216","Nanophyinae",NA
"17217","Apioninae",NA
"17218","Brachycerinae","Curculionidae"
"17219","Curculioninae","Curculionidae"
"17220","Dryophthorinae","Curculionidae"
"17221","Cossoninae","Curculionidae"
"17222","Scolytinae","Curculionidae"
"17223","Platypodinae","Curculionidae"
"17224","Agrypninae","Elateridae"
"17225","Glaphyrinae","Glaphyridae"
"17226","Lichniinae",NA
"17227","Hydrodytinae","Dytiscidae"
"17228","Deleveinae","Torridincolidae"
"17229","Amalthocinae","Melyridae"
"17230","Pagurodactylinae","Melyridae"
"17231","Periptyctinae","Corylophidae"
"17232","Danascelinae","Endomychidae"
"17233","Acritosomatinae",NA
"17234","Maynipeplinae","Nitidulidae"
"17235","Phylloplatypodinae","Curculionidae"
"17236","Palorinae","Tenebrionidae"
"17237","Duliticolinae","Lycidae"
"17238","Thilmaninae","Lycidae"
"17239","Horelophopsinae","Hydrophilidae"
"17240","Necrophilinae","Agyrtidae"
"17241","Orchymontiinae","Hydraenidae"
"17242","Ceryloninae","Cerylonidae"
"17243","Dytiscinae","Dytiscidae"
"17244","Zeugophorinae","Megalopodidae"
"17245","Cicindelinae","Carabidae"
"17246","Carinae","Eccoptarthridae"
"17247","Eosentomoidea","Protura"
"17248","Acerentomoidea","Protura"
"17249","Hesperentominae","Hesperentomidae"
"17250","Protentominae","Protentomidae"
"17251","Hesperentomon","Hesperentominae"
"17252","Proturentomon","Protentominae"
"17253","Protentomon","Protentominae"
"17254","Acerentulus","Berberentulinae"
"17255","Amerentulus",NA
"17256","Nipponentomon","Nipponentominae"
"17257","Gracilentulus","Berberentulinae"
"17258","Neocondeellum","Condeellinae"
"17259","Acerentuloides","Berberentulinae"
"17260","Tuxenentulus","Acerentominae"
"17261","Fjellbergella","Acerentominae"
"17262","Nosekiella","Nipponentominae"
"17263","Yamatentomon","Acerentominae"
"17264","Berberentulus","Berberentulinae"
"17265","Styletoentomon","Eosentominae"
"17266","Vesiculentomon","Nipponentominae"
"17267","Alaskaentomon","Nipponentominae"
"17268","Verrucoentomon","Nipponentominae"
"17269","Proacerella","Berberentulinae"
"17270","Filientomon","Acerentominae"
"17271","Baculentulus","Berberentulinae"
"17272","Euglenesidae",NA
"17273","Vanonus","Aderidae"
"17274","Ganascus","Aderidae"
"17275","Gymnoganascus","Aderidae"
"17276","Aderus","Aderidae"
"17277","Emelinus","Aderidae"
"17278","Cnopus","Aderidae"
"17279","Elonus","Aderidae"
"17280","Ariotus","Aderidae"
"17281","Pseudariotus","Aderidae"
"17282","Zonantes","Aderidae"
"17283","Axylophilus","Aderidae"
"17284","Phomalus",NA
"17285","Scanylus",NA
"17286","Sandytes",NA
"17287","Tanilotes",NA
"17288","Sebekidae","Porocephalida"
"17289","Derocheilocaridae",NA
"17290","Raillietiella","Cephalobaenidae"
"17291","Reighardia","Reighardiidae"
"17292","Linguatula","Linguatulidae"
"17293","Kiricephalus","Porocephalidae"
"17294","Porocephalus","Porocephalidae"
"17295","Sebekia","Sebekidae"
"17296","Mycidacea",NA
"17297","Nebaliopsididae","Leptostraca"
"17298","Alachosquilla","Nannosquillidae"
"17299","Bathysquilla","Bathysquillidae"
"17300","Bigelowina","Nannosquillidae"
"17301","Busquilla","Squillidae"
"17302","Echinosquilla","Protosquillidae"
"17303","Gonodactylaceus","Gonodactylidae"
"17304","Gonodactylellus","Gonodactylidae"
"17305","Heterosquilloides","Tetrasquillidae"
"17306","Lysiosquillina","Lysiosquillidae"
"17307","Oratosquilla","Squillidae"
"17308","Pseudosquillisma","Pseudosquillidae"
"17309","Pullosquilla","Nannosquillidae"
"17310","Tetrasquilla","Tetrasquillidae"
"17311","Sarsinebalia","Nebaliidae"
"17312","Neognathophausia","Lophogastridae"
"17313","Columbiaemysis","Mysidae"
"17314","Pacifacanthomysis","Mysidae"
"17315","Xenacanthomysis","Mysidae"
"17316","Deltamysis","Mysidae"
"17317","Disacanthomysis","Mysidae"
"17318","Hippacanthomysis","Mysidae"
"17319","Acoridon","Coronididae"
"17320","Tectasquilla","Tetrasquillidae"
"17321","Parvisquilla","Squillidae"
"17322","Hexabathynella","Parabathynellidae"
"17323","Bathynella","Bathynellidae"
"17324","Pacificabathynella","Bathynellidae"
"17325","Texanobathynella","Parabathynellidae"
"17326","Iberobathynella","Parabathynellidae"
"17327","Fennerosquilla","Squillidae"
"17328","Gibbesia","Squillidae"
"17329","Hyperacanthomysis","Mysidae"
"17330","Pontiosquilla","Squillidae"
"17331","Mexisquilla","Nannosquillidae"
"17332","Neogonodactylus","Gonodactylidae"
"17333","Americamysis","Mysidae"
"17334","Neobathymysis","Mysidae"
"17335","Telacanthomysis","Mysidae"
"17336","Tethysbaena","Monodellidae"
"17337","Califobathynella","Parabathynellidae"
"17338","Indosquilla","Indosquillidae"
"17339","Coronida","Coronididae"
"17340","Antromysis","Mysidae"
"17341","Parvimysis","Mysidae"
"17342","Surinamysis","Mysidae"
"17343","Idiomysis","Mysidae"
"17344","Teratamblyops","Mysidae"
"17345","Neodoxomysis","Mysidae"
"17346","Eurobowmaniella","Mysidae"
"17347","Paraleptomysis","Mysidae"
"17348","Pyroleptomysis","Mysidae"
"17349","Notomysis","Mysidae"
"17350","Nipponomysis","Mysidae"
"17351","Bacescomysis","Petalophthalmidae"
"17352","Parapetalophthalmus","Petalophthalmidae"
"17353","Pseudopetalophthalmus","Petalophthalmidae"
"17354","Aberomysis","Mysidae"
"17355","Hemiacanthomysis","Mysidae"
"17356","Notacanthomysis","Mysidae"
"17357","Orientomysis","Mysidae"
"17358","Arachnomysis","Mysidae"
"17359","Bermudamysis","Mysidae"
"17360","Burrimysis","Mysidae"
"17361","Gibbamblyops","Mysidae"
"17362","Illigiella","Mysidae"
"17363","Gironomysis","Mysidae"
"17364","Halemysis","Mysidae"
"17365","Harmelinella","Mysidae"
"17366","Indoerythrops","Mysidae"
"17367","Liuimysis","Mysidae"
"17368","Marumomysis","Mysidae"
"17369","Megalopsis","Mysidae"
"17370","Meierythrops","Mysidae"
"17371","Metasiriella","Mysidae"
"17372","Mysifaun","Mysidae"
"17373","Nakazawaia","Mysidae"
"17374","Onychomysis","Mysidae"
"17375","Palaumysis","Mysidae"
"17376","Paramesopodopsis","Mysidae"
"17377","Platymysis","Mysidae"
"17378","Platyops","Mysidae"
"17379","Retromysis","Mysidae"
"17380","Rostromysis","Mysidae"
"17381","Shenimysis","Mysidae"
"17382","Tasmanomysis","Mysidae"
"17383","Ceratocuma","Ceratocumatidae"
"17384","Cimmerius","Ceratocumatidae"
"17385","Vemakylindrus","Diastylidae"
"17386","Ektonodiastylis","Diastylidae"
"17387","Anchicolurus","Diastylidae"
"17388","Styloptocuma","Nannastacidae"
"17389","Schizocuma","Nannastacidae"
"17390","Normjonesia","Nannastacidae"
"17391","Campylaspenis","Nannastacidae"
"17392","Alloeoleucon","Leuconidae"
"17393","Nippoleucon","Leuconidae"
"17394","Pectinapseudes","Apseudidae"
"17395","Kudinopasternakia","Sphyrapidae"
"17396","Chauliopleona","Anarthruridae"
"17397","Scoloura","Paratanaoidea"
"17398","Hargeria","Leptocheliidae"
"17399","Nototanoides","Paratanaoidea"
"17400","Iungentitanais","Pseudotanaidae"
"17401","Pseudozeuxo","Pseudozeuxidae"
"17402","Hypsimetopodidae","Phreatoicidea"
"17403","Ponderellidae","Phreatoicidea"
"17404","Coxicerberus","Microcerberidae"
"17405","Pongycarcinia","Calabozoidae"
"17406","Eremisopus","Amphisopodidae"
"17407","Peludo","Amphisopodidae"
"17408","Paramphisopus","Amphisopodidae"
"17409","Platypyga","Amphisopodidae"
"17410","Pilbarophreatoicus","Hypsimetopodidae"
"17411","Eophreatoicus","Phreatoicidae"
"17412","Gariwerdeus","Phreatoicidae"
"17413","Naiopegia","Phreatoicidae"
"17414","Uramphisopus","Phreatoicidae"
"17415","Mexicerberus","Microcerberidae"
"17416","Crenisopus","Phreatoicidea"
"17417","Neophreatoicus","Phreatoicidae"
"17418","Ponderella","Ponderellidae"
"17419","Tainisopidae","Flabellifera"
"17420","Livoneca","Cymothoidae"
"17421","Stygocyathura","Anthuridae"
"17422","Mexicope","Acanthaspidiidae"
"17423","Tole","Janiroidea"
"17424","Bathybadistes","Munnopsidae"
"17425","Metamunna","Paramunnidae"
"17426","Notopais","Munnopsidae"
"17427","Pseudobaicalasellus",NA
"17428","Columbasellus","Asellidae"
"17429","Zonophryxus","Dajidae"
"17430","Cabirops","Cabiropidae"
"17431","Faba","Cryptoniscidae"
"17432","Heterophryxus","Dajidae"
"17433","Crinoniscus","Cabiropidae"
"17434","Onisocryptus","Cyproniscidae"
"17435","Pseudidothea","Pseudidotheidae"
"17436","Platycopina","Platycopida"
"17437","Cytherelloidea","Platycopina"
"17438","Saipanettidae","Sigillioidea"
"17439","Cobanocytheridae","Cytheroidea"
"17440","Cushmanideidae","Cytheroidea"
"17441","Parvocytheridae","Cytheroidea"
"17442","Cytherelloidea","Cytherellidae"
"17443","Platella","Cytherellidae"
"17444","Anchistrocheles","Bairdiidae"
"17445","Glyptobairdia","Bairdiidae"
"17446","Zabythocypris","Bairdiidae"
"17447","Aglaiocypris","Candonidae"
"17448","Dolerocypria","Candonidae"
"17449","Fabaeformiscandona","Candonidae"
"17450","Mungava","Candonidae"
"17451","Parapontoparta","Candonidae"
"17452","Pontoparta","Candonidae"
"17453","Pseudocandona","Candonidae"
"17454","Thalassocypria","Candonidae"
"17455","Triangulocypris","Candonidae"
"17456","Bradleystrandesia","Cyprididae"
"17457","Cavernocypris","Cyprididae"
"17458","Hemicypris","Cyprididae"
"17459","Neocypridopsis","Cyprididae"
"17460","Sarscypridopsis","Cyprididae"
"17461","Scottia","Cyprididae"
"17462","Spirocypris","Cyprididae"
"17463","Strandesia","Cyprididae"
"17464","Notodromas","Notodromadidae"
"17465","Macropyxis","Macrocyprididae"
"17466","Macrosarisa","Macrocyprididae"
"17467","Macroscapha","Macrocyprididae"
"17468","Argilloecia","Pontocyprididae"
"17469","Propontocypris","Pontocyprididae"
"17470","Thomontocypris","Pontocyprididae"
"17471","Bythoceratina","Bythocytheridae"
"17472","Pseudocythere","Bythocytheridae"
"17473","Cobanocythere","Cobanocytheridae"
"17474","Paracobanocythere","Cobanocytheridae"
"17475","Cytheretta","Cytherettidae"
"17476","Spinileberis","Cytheridae"
"17477","Heterocyprideis","Cytherideidae"
"17478","Paracyprideis","Cytherideidae"
"17479","Peratocytheridea","Cytherideidae"
"17480","Pumilocytheridea","Cytherideidae"
"17481","Sarsicytheridea","Cytherideidae"
"17482","Megacythere","Cytheromatidae"
"17483","Paracytheroma","Cytheromatidae"
"17484","Pedicythere","Cytheruridae"
"17485","Semicytherura","Cytheruridae"
"17486","Swainocythere","Cytheruridae"
"17487","Tetracytherura","Cytheruridae"
"17488","Xylocythere","Cytheruridae"
"17489","Hobbsiella","Entocytheridae"
"17490","Psittocythere","Entocytheridae"
"17491","Waltoncythere","Entocytheridae"
"17492","Eucythere","Eucytheridae"
"17493","Ambostracon","Hemicytheridae"
"17494","Aurila","Hemicytheridae"
"17495","Australicythere","Hemicytheridae"
"17496","Baffinicythere","Hemicytheridae"
"17497","Bensonocythere","Hemicytheridae"
"17498","Coquimba","Hemicytheridae"
"17499","Elofsonella","Hemicytheridae"
"17500","Finmarchinella","Hemicytheridae"
"17501","Hermanites","Hemicytheridae"
"17502","Jugosocythereis","Hemicytheridae"
"17503","Laperousecythere","Hemicytheridae"
"17504","Malzella","Hemicytheridae"
"17505","Muellerina","Hemicytheridae"
"17506","Neocaudites","Hemicytheridae"
"17507","Normanicythere","Hemicytheridae"
"17508","Orionina","Hemicytheridae"
"17509","Patagonacythere","Hemicytheridae"
"17510","Radimella","Hemicytheridae"
"17511","Robustaurila","Hemicytheridae"
"17512","Thaerocythere","Hemicytheridae"
"17513","Parakrithella","Krithidae"
"17514","Tanella","Leptocytheridae"
"17515","Callistocythere","Leptocytheridae"
"17516","Cluthia","Leptocytheridae"
"17517","Elpidium","Limnocytheridae"
"17518","Cytheridella","Limnocytheridae"
"17519","Loxoconchella","Loxoconchidae"
"17520","Elofsonia","Loxoconchidae"
"17521","Loxoconchidea","Loxoconchidae"
"17522","Palmoconcha","Loxoconchidae"
"17523","Roundstonia","Loxoconchidae"
"17524","Sagmatocythere","Loxoconchidae"
"17525","Microcythere","Microcytheridae"
"17526","Neocytherideis","Neocytherideidae"
"17527","Acetabulastoma","Paradoxostomatidae"
"17528","Cytherois","Paradoxostomatidae"
"17529","Luvula","Paradoxostomatidae"
"17530","Redekea","Paradoxostomatidae"
"17531","Xiphichilus","Paradoxostomatidae"
"17532","Parvocythere","Parvocytheridae"
"17533","Keija","Pectocytheridae"
"17534","Kotoracythere","Pectocytheridae"
"17535","Munseyella","Pectocytheridae"
"17536","Pectocythere","Pectocytheridae"
"17537","Psammocythere","Psammocytheridae"
"17538","Acuminocythere","Schizocytheridae"
"17539","Neomonoceratina","Schizocytheridae"
"17540","Aspidoconcha","Xestoleberididae"
"17541","Acanthocythereis","Trachyleberididae"
"17542","Acuticythereis","Trachyleberididae"
"17543","Agrenocythere","Trachyleberididae"
"17544","Ambocythere","Trachyleberididae"
"17545","Ambtonia","Trachyleberididae"
"17546","Basslerites","Trachyleberididae"
"17547","Campylocythere","Trachyleberididae"
"17548","Caribbella","Trachyleberididae"
"17549","Carinocythereis","Trachyleberididae"
"17550","Celtia","Trachyleberididae"
"17551","Cletocythereis","Trachyleberididae"
"17552","Climacoidea","Trachyleberididae"
"17553","Trachyleberis","Trachyleberididae"
"17554","Costa","Trachyleberididae"
"17555","Henryhowella","Trachyleberididae"
"17556","Legitimocythere","Trachyleberididae"
"17557","Neolophocythere","Trachyleberididae"
"17558","Occultocythereis","Trachyleberididae"
"17559","Rabilimis","Trachyleberididae"
"17560","Robertsonites","Trachyleberididae"
"17561","Rugocythereis","Trachyleberididae"
"17562","Trachyleberidea","Trachyleberididae"
"17563","Wichmannella","Trachyleberididae"
"17564","Alicenula","Darwinulidae"
"17565","Saipanetta","Saipanettidae"
"17566","Pterygocythere","Trachyleberididae"
"17567","Asteropidae",NA
"17568","Alacia",NA
"17569","Boroecia","Conchoecinae"
"17570","Conchoecilla","Conchoecinae"
"17571","Discoconchoecia","Conchoecinae"
"17572","Metaconchoecia","Conchoecinae"
"17573","Obtusoecia","Conchoecinae"
"17574","Orthoconchoecia","Conchoecinae"
"17575","Paraconchoecia","Conchoecinae"
"17576","Porroecia","Conchoecinae"
"17577","Pontopolycope","Polycopidae"
"17578","Pseudopolycope","Polycopidae"
"17579","Ancohenia","Sarsiellidae"
"17580","Zeugophilomedes","Philomedidae"
"17581","Bathyvargula","Cypridinidae"
"17582","Gigantocypris","Cypridinidae"
"17583","Asteropterygion","Cylindroleberididae"
"17584","Bruuniella","Cylindroleberididae"
"17585","Empoulsenia","Cylindroleberididae"
"17586","Heptonema","Cylindroleberididae"
"17587","Microasteropteron","Cylindroleberididae"
"17588","Postasterope","Cylindroleberididae"
"17589","Xenoleberis","Cylindroleberididae"
"17590","Conchoecetta","Conchoecinae"
"17591","Conchoecissa","Conchoecinae"
"17592","Gaussicia","Conchoecinae"
"17593","Loricoecia","Conchoecinae"
"17594","Macroconchoecia","Conchoecinae"
"17595","Mikroconchoecia","Conchoecinae"
"17596","Paramollicia","Conchoecinae"
"17597","Platyconchoecia","Conchoecinae"
"17598","Proceroecia","Conchoecinae"
"17599","Pseudoconchoecia","Conchoecinae"
"17600","Mollicia","Conchoecinae"
"17601","Fellia","Halocypridinae"
"17602","Danielopolina","Thaumatocyprididae"
"17603","Deeveya","Thaumatocyprididae"
"17604","Spelaeoecia","Thaumatocyprididae"
"17605","Thaumatocypris","Thaumatocyprididae"
"17606","Thaumatoconcha","Thaumatocyprididae"
"17607","Asterope","Cylindroleberididae"
"17608","Archiconchoecissa","Archiconchoecinae"
"17609","Archiconchoecilla","Archiconchoecinae"
"17610","Archiconchoecemma","Archiconchoecinae"
"17611","Archiconchoecinna","Archiconchoecinae"
"17612","Archiconchoecetta","Archiconchoecinae"
"17613","Archiconchoecerra","Archiconchoecinae"
"17614","Microconchoecia",NA
"17615","Metaconchoecia",NA
"17616","Alacia","Conchoecinae"
"17617","Gigantocypris",NA
"17618","Ilyocryptidae","Anomopoda"
"17619","Bryospilus","Chydoridae"
"17620","Paralona","Chydoridae"
"17621","Picripleuroxus","Chydoridae"
"17622","Cercopagis","Cercopagididae"
"17623","Pleopsis","Podonidae"
"17624","Pseudevadne","Podonidae"
"17625","Ophryoxus","Macrothricidae"
"17626","Karualona","Chydoridae"
"17627","Natantia",NA
"17628","Penaeidea",NA
"17629","Aristaeidae",NA
"17630","Aristaeinae",NA
"17631","Aristaeus",NA
"17632","Eusicyonia",NA
"17633","Farfantepenaeus","Penaeidae"
"17634","Corallichirus","Callichirinae"
"17635","Sergio","Callichirinae"
"17636","Axianassa","Laomediidae"
"17637","Lophaxius","Calocarididae"
"17638","Marcusiaxius","Micheleidae"
"17639","Michelea","Micheleidae"
"17640","Crosniera","Thomassiniidae"
"17641","Alloniscidae","Oniscoidea"
"17642","Tachysoniscus","Trichoniscidae"
"17643","Zygentoma","Dicondylia"
"17644","Microcoryphia",NA
"17645","Meinertellidae","Archaeognatha"
"17646","Petrobiinae","Machilidae"
"17647","Machilinae","Machilidae"
"17648","Atelurinae","Nicoletiidae"
"17649","Nicoletiinae","Nicoletiidae"
"17650","Cubacubaninae","Nicoletiidae"
"17651","Petridiobius","Petrobiinae"
"17652","Pedetontus","Petrobiinae"
"17653","Mesomachilis","Machilinae"
"17654","Mixomachilis",NA
"17655","Petrobius","Petrobiinae"
"17656","Trigoniophthalmus","Machilinae"
"17657","Leptomachilis","Petrobiinae"
"17658","Machilinus","Meinertellidae"
"17659","Machiloides","Meinertellidae"
"17660","Hypomachilodes","Meinertellidae"
"17661","Acrotelsa","Lepismatidae"
"17662","Allacrotelsa","Lepismatidae"
"17663","Ctenolepisma","Lepismatidae"
"17664","Leucolepisma","Lepismatidae"
"17665","Mirolepisma","Lepismatidae"
"17666","Stylifera","Lepismatidae"
"17667","Nicoletia","Cubacubaninae"
"17668","Texoreddellia","Cubacubaninae"
"17669","Allonicoletia","Nicoletiinae"
"17670","Meximachilis","Petrobiinae"
"17671","Anallacrotelsa","Lepismatidae"
"17672","Pedetontoides","Petrobiinae"
"17673","Heteropsontus","Machilinae"
"17674","Prolepismina","Lepismatidae"
"17675","Grassiella","Atelurinae"
"17676","Anelpistina","Cubacubaninae"
"17677","Notoxidae",NA
"17678","Notoxinae",NA
"17679","Amblyderus","Anthicinae"
"17680","Malporus","Anthicinae"
"17681","Ischyropalpus","Anthicinae"
"17682","Formicilla","Anthicinae"
"17683","Euvacusus","Anthicinae"
"17684","Acanthinus","Anthicinae"
"17685","Baulius","Anthicinae"
"17686","Stricticomus","Anthicinae"
"17687","Omonadus","Anthicinae"
"17688","Sapintus","Anthicinae"
"17689","Tomoderus","Tomoderinae"
"17690","Tanarthrus","Anthicinae"
"17691","Mastoremus","Eurygeniinae"
"17692","Leptanthicus","Anthicinae"
"17693","Rilettius","Eurygeniinae"
"17694","Ischalia","Ischaliinae"
"17695","Duboisius","Eurygeniinae"
"17696","Stereopalpus","Eurygeniinae"
"17697","Bactrocerus","Eurygeniinae"
"17698","Retocomus","Eurygeniinae"
"17699","Qadrius","Eurygeniinae"
"17700","Pergetus","Eurygeniinae"
"17701","Neoeurygenius","Eurygeniinae"
"17702","Leptoremus","Eurygeniinae"
"17703","Macratria","Macratriinae"
"17704","Monocerus",NA
"17705","Dilandius",NA
"17706","Liobaulius",NA
"17707","Macrarthrius",NA
"17708","Lappus",NA
"17709","Nathicus",NA
"17710","Inamblyderus",NA
"17711","Anthelephila","Anthicinae"
"17712","Squamanotoxus","Anthicinae"
"17713","Cyclodinus","Anthicinae"
"17714","Eurygenius","Eurygeniinae"
"17715","Thambopasta","Eurygeniinae"
"17716","Anthelephilus",NA
"17717","Formicoma",NA
"17718","Ennearthrum",NA
"17719","Prolixocupes","Cupedidae"
"17720","Opilioacariformes",NA
"17721","Acariformes","Acari"
"17722","Pseudoscorpiones","Arachnida"
"17723","Solifugae","Arachnida"
"17724","Schizomida","Arachnida"
"17725","Amblypygi","Arachnida"
"17726","Epiocheirata","Pseudoscorpiones"
"17727","Iocheirata","Pseudoscorpiones"
"17728","Paleoamblypygi","Amblypygi"
"17729","Euamblypygi","Amblypygi"
"17730","Olpioidea",NA
"17731","Sternophoroidea","Iocheirata"
"17732","Opilioacaridae","Opilioacarida"
"17733","Ricinoididae","Ricinoidoidea"
"17734","Protoschizomidae","Hubbardioidea"
"17735","Hubbardiidae","Hubbardioidea"
"17736","Eukoeneniidae","Eukoenenioidea"
"17737","Prokoeneniidae","Eukoenenioidea"
"17738","Thelyphonidae","Thelyphonoidea"
"17739","Charinidae","Charinoidea"
"17740","Charontidae","Charontoidea"
"17741","Phrynichidae","Phrynoidea"
"17742","Phrynidae","Phrynoidea"
"17743","Ammotrechidae","Solifugae"
"17744","Ceromidae","Solifugae"
"17745","Daesiidae","Solifugae"
"17746","Eremobatidae","Solifugae"
"17747","Galeodidae","Solifugae"
"17748","Gylippidae","Solifugae"
"17749","Hexisopodidae","Solifugae"
"17750","Karschiidae","Solifugae"
"17751","Melanoblossiidae","Solifugae"
"17752","Mummuciidae","Solifugae"
"17753","Rhagodidae","Solifugae"
"17754","Solpugidae","Solifugae"
"17755","Larcidae","Garypoidea"
"17756","Parahyidae","Neobisioidea"
"17757","Lechytiidae","Chthonioidea"
"17758","Paracharontidae","Paleoamblypygi"
"17759","Bothriuridae","Scorpiones"
"17760","Chaerilidae","Scorpiones"
"17761","Diplocentridae","Scorpiones"
"17762","Euscorpiidae","Scorpiones"
"17763","Heteroscorpionidae","Scorpiones"
"17764","Ischnuridae","Scorpiones"
"17765","Iuridae","Scorpiones"
"17766","Microcharmidae","Scorpiones"
"17767","Pseudochactidae","Scorpiones"
"17768","Scorpionidae","Scorpiones"
"17769","Scorpiopidae","Scorpiones"
"17770","Superstitioniidae","Scorpiones"
"17771","Troglotayosicidae","Scorpiones"
"17772","Vaejovidae","Scorpiones"
"17773","Ricinoides","Ricinoididae"
"17774","Cryptocellus","Ricinoididae"
"17775","Pseudocellus","Ricinoididae"
"17776","Protoschizomus","Protoschizomidae"
"17777","Agastoschizomus","Protoschizomidae"
"17778","Eukoenenia","Eukoeneniidae"
"17779","Allokoenenia","Eukoeneniidae"
"17780","Koenenoides",NA
"17781","Leptokoenenia","Eukoeneniidae"
"17782","Prokoenenia","Prokoeneniidae"
"17783","Triadokoenenia","Prokoeneniidae"
"17784","Paracharon","Paracharontidae"
"17785","Chaerilus","Chaerilidae"
"17786","Heteroscorpion","Heteroscorpionidae"
"17787","Pseudochactas","Pseudochactidae"
"17788","Bythinoplectinae",NA
"17789","Clavigerinae",NA
